,Year,Date,Action,Team,ID,Start_Stop
0,2006,2005-11-16,Lost,CON,wyckobr01w,stop
1,2006,2005-11-16,Lost,IND,jacksde01w,stop
2,2006,2005-11-16,Lost,LAS,macchla01w,stop
3,2006,2005-11-16,Lost,MIN,lovelst01w,stop
4,2006,2005-11-16,Lost,NYL,whitede01w,stop
5,2006,2005-11-16,Lost,PHO,robinas01w,stop
6,2006,2005-11-16,Lost,SAS,ngoyibe01w,stop
7,2006,2005-11-16,Lost,SEA,zarafr01w,stop
8,2006,2005-11-16,Lost,DET,powelel01w,stop
9,2006,2005-11-16,Lost,WAS,dalesst01w,stop
10,2006,2005-11-16,Lost,CHA,perkiji01w,stop
11,2006,2005-11-16,Lost,HOU,brownki01w,stop
12,2006,2005-11-16,Lost,SAC,newtoch01w,stop
13,2000,1999-12-15,Lost,ORL,mooreyo01w,stop
14,2000,1999-12-15,Lost,LAS,bjedoni01w,stop
15,2000,1999-12-15,Lost,MIN,smithch03w,stop
16,2000,1999-12-15,Lost,NYL,washico01w,stop
17,2000,1999-12-15,Lost,PHO,fosteto01w,stop
18,2000,1999-12-15,Lost,UTA,tremich01w,stop
19,2000,1999-12-15,Lost,DET,brownle01w,stop
20,2000,1999-12-15,Lost,WAS,williri01w,stop
21,2000,1999-12-15,Lost,CHA,mannish01w,stop
22,2000,1999-12-15,Lost,CLE,widemja01w,stop
23,2000,1999-12-15,Lost,HOU,wolteka01w,stop
24,2000,1999-12-15,Lost,SAC,starbka01w,stop
25,1999,1999-04-06,Lost,LAS,blueoc01w,stop
26,1999,1999-04-06,Lost,NYL,fordki01w,stop
27,1999,1999-04-06,Lost,PHO,reedbr01w,stop
28,1999,1999-04-06,Lost,UTA,williki01w,stop
29,1999,1999-04-06,Lost,CHA,congran01w,stop
30,1999,1999-04-06,Lost,CLE,johnsad01w,stop
31,1999,1999-04-06,Lost,HOU,mooreyo01w,stop
32,1999,1999-04-06,Lost,SAC,barnead01w,stop
33,1998,1998-02-18,Lost,LAS,burgehe01w,stop
34,1998,1998-02-18,Lost,NYL,bladerh01w,stop
35,1998,1998-02-18,Lost,PHO,willita01w,stop
36,1998,1998-02-18,Lost,UTA,cartede01w,stop
37,1998,1998-02-18,Lost,CHA,moorepe01w,stop
38,1998,1998-02-18,Lost,CLE,woodaly01w,stop
39,1998,1998-02-18,Lost,HOU,jacksta01w,stop
40,1998,1998-02-18,Lost,SAC,abrahta01w,stop
41,2008,2008-02-06,Lost,CHI,thomaca01w,stop
42,2008,2008-02-06,Lost,CON,desouer01w,stop
43,2008,2008-02-06,Lost,LAS,thomala01w,stop
44,2008,2008-02-06,Lost,MIN,mannkr01w,stop
45,2008,2008-02-06,Lost,NYL,wautean01w,stop
46,2008,2008-02-06,Lost,PHO,lacyje01w,stop
47,2008,2008-02-06,Lost,SAS,anderch01w,stop
48,2008,2008-02-06,Lost,WAS,leuchye01w,stop
49,2008,2008-02-06,Lost,HOU,hodgero01w,stop
50,2008,2008-02-06,Lost,SAC,haynikr01w,stop
51,2006,2005-11-16,Lost,CHI,wyckobr01w,start
52,2006,2005-11-16,Lost,CHI,jacksde01w,start
53,2006,2005-11-16,Lost,CHI,macchla01w,start
54,2006,2005-11-16,Lost,CHI,lovelst01w,start
55,2006,2005-11-16,Lost,CHI,whitede01w,start
56,2006,2005-11-16,Lost,CHI,robinas01w,start
57,2006,2005-11-16,Lost,CHI,ngoyibe01w,start
58,2006,2005-11-16,Lost,CHI,zarafr01w,start
59,2006,2005-11-16,Lost,CHI,powelel01w,start
60,2006,2005-11-16,Lost,CHI,dalesst01w,start
61,2006,2005-11-16,Lost,CHI,perkiji01w,start
62,2006,2005-11-16,Lost,CHI,brownki01w,start
63,2006,2005-11-16,Lost,CHI,newtoch01w,start
64,2000,1999-12-15,Lost,MIA,mooreyo01w,start
65,2000,1999-12-15,Lost,SEA,bjedoni01w,start
66,2000,1999-12-15,Lost,SEA,smithch03w,start
67,2000,1999-12-15,Lost,POR,washico01w,start
68,2000,1999-12-15,Lost,SEA,fosteto01w,start
69,2000,1999-12-15,Lost,IND,tremich01w,start
70,2000,1999-12-15,Lost,MIA,brownle01w,start
71,2000,1999-12-15,Lost,IND,williri01w,start
72,2000,1999-12-15,Lost,MIA,mannish01w,start
73,2000,1999-12-15,Lost,POR,widemja01w,start
74,2000,1999-12-15,Lost,IND,wolteka01w,start
75,2000,1999-12-15,Lost,MIA,starbka01w,start
76,1999,1999-04-06,Lost,MIN,blueoc01w,start
77,1999,1999-04-06,Lost,ORL,fordki01w,start
78,1999,1999-04-06,Lost,MIN,reedbr01w,start
79,1999,1999-04-06,Lost,MIN,williki01w,start
80,1999,1999-04-06,Lost,ORL,congran01w,start
81,1999,1999-04-06,Lost,ORL,johnsad01w,start
82,1999,1999-04-06,Lost,ORL,mooreyo01w,start
83,1999,1999-04-06,Lost,MIN,barnead01w,start
84,1998,1998-02-18,Lost,WAS,burgehe01w,start
85,1998,1998-02-18,Lost,DET,bladerh01w,start
86,1998,1998-02-18,Lost,DET,willita01w,start
87,1998,1998-02-18,Lost,WAS,cartede01w,start
88,1998,1998-02-18,Lost,WAS,moorepe01w,start
89,1998,1998-02-18,Lost,DET,woodaly01w,start
90,1998,1998-02-18,Lost,WAS,jacksta01w,start
91,1998,1998-02-18,Lost,DET,abrahta01w,start
92,2008,2008-02-06,Lost,ATL,thomaca01w,start
93,2008,2008-02-06,Lost,ATL,desouer01w,start
94,2008,2008-02-06,Lost,ATL,thomala01w,start
95,2008,2008-02-06,Lost,ATL,mannkr01w,start
96,2008,2008-02-06,Lost,ATL,wautean01w,start
97,2008,2008-02-06,Lost,ATL,lacyje01w,start
98,2008,2008-02-06,Lost,ATL,anderch01w,start
99,2008,2008-02-06,Lost,ATL,leuchye01w,start
100,2008,2008-02-06,Lost,ATL,hodgero01w,start
101,2008,2008-02-06,Lost,ATL,haynikr01w,start
102,2004,2004-01-06,Drafted,IND,jacksde01w,start
103,2004,2004-01-06,Drafted,LAS,fijalis01w,start
104,2004,2004-01-06,Drafted,MIN,darlihe01w,start
105,2004,2004-01-06,Drafted,NYL,wautean01w,start
106,2004,2004-01-06,Drafted,PHO,taylope01w,start
107,2004,2004-01-06,Drafted,SAS,thomala01w,start
108,2004,2004-01-06,Drafted,SEA,lennobe01w,start
109,2004,2004-01-06,Drafted,DET,rizzoje01w,start
110,2004,2004-01-06,Drafted,WAS,melvich01w,start
111,2004,2004-01-06,Drafted,CHA,andrame01w,start
112,2004,2004-01-06,Drafted,HOU,johnspo01w,start
113,2010,2009-12-14,Drafted,CHI,parisco01w,start
114,2010,2009-12-14,Drafted,CON,walkede01w,start
115,2010,2009-12-14,Drafted,MIN,brunsre01w,start
116,2010,2009-12-14,Drafted,NYL,powelni01w,start
117,2010,2009-12-14,Drafted,SAS,harpela01w,start
118,2010,2009-12-14,Drafted,SEA,newtoch01w,start
119,2010,2009-12-14,Drafted,TUL,dorresc01w,start
120,2010,2009-12-14,Drafted,WAS,haynikr01w,start
121,2007,2007-01-08,Drafted,CHI,currimo01w,start
122,2007,2007-01-08,Drafted,IND,samsh01w,start
123,2007,2007-01-08,Drafted,LAS,walkeay01w,start
124,2007,2007-01-08,Drafted,MIN,smithta01w,start
125,2007,2007-01-08,Drafted,NYL,mccarja01w,start
126,2007,2007-01-08,Drafted,PHO,mazzake01w,start
127,2007,2007-01-08,Drafted,SAS,darlihe01w,start
128,2007,2007-01-08,Drafted,SEA,flukety01w,start
129,2007,2007-01-08,Drafted,WAS,mckivte01w,start
130,2007,2007-01-08,Drafted,HOU,leuchye01w,start
131,2007,2007-01-08,Drafted,SAC,bondla01w,start
132,2006,2005-11-16,Drafted,CHI,perkiji01w,start
133,2003,2003-04-24,Drafted,CON,blackde01w,start
134,2003,2003-04-24,Drafted,IND,crawlsy01w,start
135,2003,2003-04-24,Drafted,LAS,stileja01w,start
136,2003,2003-04-24,Drafted,MIN,samsh01w,start
137,2003,2003-04-24,Drafted,NYL,baranel01w,start
138,2003,2003-04-24,Drafted,PHO,jacksta02w,start
139,2003,2003-04-24,Drafted,SEA,burraal01w,start
140,2003,2003-04-24,Drafted,DET,rileyru01w,start
141,2003,2003-04-24,Drafted,WAS,moweje01w,start
142,2003,2003-04-24,Drafted,CHA,johnspo01w,start
143,2003,2003-04-24,Drafted,CLE,lennobe01w,start
144,2003,2003-04-24,Drafted,HOU,figgsuk01w,start
145,2003,2003-04-24,Drafted,SAC,walkede01w,start
146,2000,1999-12-15,Drafted,IND,tremich01w,start
147,2000,1999-12-15,Drafted,SEA,smithch03w,start
148,2000,1999-12-15,Drafted,MIA,mooreyo01w,start
149,2000,1999-12-15,Drafted,POR,widemja01w,start
150,1999,1999-04-06,Drafted,ORL,johnsad01w,start
151,1999,1999-04-06,Drafted,MIN,barnead01w,start
152,1998,1998-02-18,Drafted,DET,woodaly01w,start
153,1998,1998-02-18,Drafted,WAS,jacksta01w,start
154,2009,2008-12-08,Drafted,ATL,lyttlsa01w,start
155,2009,2008-12-08,Drafted,CHI,bassmi01w,start
156,2009,2008-12-08,Drafted,IND,whiteer01w,start
157,2009,2008-12-08,Drafted,MIN,hodgero01w,start
158,2009,2008-12-08,Drafted,PHO,holmese01w,start
159,2009,2008-12-08,Drafted,WAS,ajavoma01w,start
160,2004,2004-01-06,Drafted,CLE,jacksde01w,stop
161,2004,2004-01-06,Drafted,CLE,fijalis01w,stop
162,2004,2004-01-06,Drafted,CLE,darlihe01w,stop
163,2004,2004-01-06,Drafted,CLE,wautean01w,stop
164,2004,2004-01-06,Drafted,CLE,taylope01w,stop
165,2004,2004-01-06,Drafted,CLE,thomala01w,stop
166,2004,2004-01-06,Drafted,CLE,lennobe01w,stop
167,2004,2004-01-06,Drafted,CLE,rizzoje01w,stop
168,2004,2004-01-06,Drafted,CLE,melvich01w,stop
169,2004,2004-01-06,Drafted,CLE,andrame01w,stop
170,2004,2004-01-06,Drafted,CLE,johnspo01w,stop
171,2010,2009-12-14,Drafted,SAC,parisco01w,stop
172,2010,2009-12-14,Drafted,SAC,walkede01w,stop
173,2010,2009-12-14,Drafted,SAC,brunsre01w,stop
174,2010,2009-12-14,Drafted,SAC,powelni01w,stop
175,2010,2009-12-14,Drafted,SAC,harpela01w,stop
176,2010,2009-12-14,Drafted,SAC,newtoch01w,stop
177,2010,2009-12-14,Drafted,SAC,dorresc01w,stop
178,2010,2009-12-14,Drafted,SAC,haynikr01w,stop
179,2007,2007-01-08,Drafted,CHA,currimo01w,stop
180,2007,2007-01-08,Drafted,CHA,samsh01w,stop
181,2007,2007-01-08,Drafted,CHA,walkeay01w,stop
182,2007,2007-01-08,Drafted,CHA,smithta01w,stop
183,2007,2007-01-08,Drafted,CHA,mccarja01w,stop
184,2007,2007-01-08,Drafted,CHA,mazzake01w,stop
185,2007,2007-01-08,Drafted,CHA,darlihe01w,stop
186,2007,2007-01-08,Drafted,CHA,flukety01w,stop
187,2007,2007-01-08,Drafted,CHA,mckivte01w,stop
188,2007,2007-01-08,Drafted,CHA,leuchye01w,stop
189,2007,2007-01-08,Drafted,CHA,bondla01w,stop
190,2006,2005-11-16,Drafted,CHA,perkiji01w,stop
191,2003,2003-04-24,Drafted,MIA,blackde01w,stop
192,2003,2003-04-24,Drafted,POR,crawlsy01w,stop
193,2003,2003-04-24,Drafted,POR,stileja01w,stop
194,2003,2003-04-24,Drafted,MIA,samsh01w,stop
195,2003,2003-04-24,Drafted,MIA,baranel01w,stop
196,2003,2003-04-24,Drafted,POR,jacksta02w,stop
197,2003,2003-04-24,Drafted,POR,burraal01w,stop
198,2003,2003-04-24,Drafted,MIA,rileyru01w,stop
199,2003,2003-04-24,Drafted,POR,moweje01w,stop
200,2003,2003-04-24,Drafted,MIA,johnspo01w,stop
201,2003,2003-04-24,Drafted,MIA,lennobe01w,stop
202,2003,2003-04-24,Drafted,POR,figgsuk01w,stop
203,2003,2003-04-24,Drafted,POR,walkede01w,stop
204,2000,1999-12-15,Drafted,UTA,tremich01w,stop
205,2000,1999-12-15,Drafted,MIN,smithch03w,stop
206,2000,1999-12-15,Drafted,ORL,mooreyo01w,stop
207,2000,1999-12-15,Drafted,CLE,widemja01w,stop
208,1999,1999-04-06,Drafted,CLE,johnsad01w,stop
209,1999,1999-04-06,Drafted,SAC,barnead01w,stop
210,1998,1998-02-18,Drafted,CLE,woodaly01w,stop
211,1998,1998-02-18,Drafted,HOU,jacksta01w,stop
212,2009,2008-12-08,Drafted,HOU,lyttlsa01w,stop
213,2009,2008-12-08,Drafted,HOU,bassmi01w,stop
214,2009,2008-12-08,Drafted,HOU,whiteer01w,stop
215,2009,2008-12-08,Drafted,HOU,hodgero01w,stop
216,2009,2008-12-08,Drafted,HOU,holmese01w,stop
217,2009,2008-12-08,Drafted,HOU,ajavoma01w,stop
218,2004,2004-04-17,Drafted,CON,whaleli01w,start
219,2004,2004-04-17,Drafted,IND,hoffmeb01w,start
220,2004,2004-04-17,Drafted,LAS,thomach01w,start
221,2004,2004-04-17,Drafted,MIN,ohldeni01w,start
222,2004,2004-04-17,Drafted,NYL,chrissh01w,start
223,2004,2004-04-17,Drafted,SAS,dallaci01w,start
224,2004,2004-04-17,Drafted,SEA,friertr01w,start
225,2004,2004-04-17,Drafted,DET,tilliic01w,start
226,2004,2004-04-17,Drafted,WAS,beardal01w,start
227,2004,2004-04-17,Drafted,CHA,powelni01w,start
228,2004,2004-04-17,Drafted,SAC,brunsre01w,start
229,2010,2010-04-08,Drafted,ATL,mokanch01w,start
230,2010,2010-04-08,Drafted,CHI,princep01w,start
231,2010,2010-04-08,Drafted,IND,morrije01w,start
232,2010,2010-04-08,Drafted,LAS,rileyan01w,start
233,2010,2010-04-08,Drafted,PHO,grantty01w,start
234,2010,2010-04-08,Drafted,SAS,appelja01w,start
235,2010,2010-04-08,Drafted,SEA,laceyal01w,start
236,2010,2010-04-08,Drafted,TUL,thompam01w,start
237,2010,2010-04-08,Drafted,WAS,monroja01w,start
238,2011,2011-04-11,Drafted,CHI,vandeco01w,start
239,2011,2011-04-11,Drafted,IND,pohleje01w,start
240,2011,2011-04-11,Drafted,LAS,lavenja01w,start
241,2011,2011-04-11,Drafted,SAS,robinda01w,start
242,2011,2011-04-11,Drafted,SEA,thomaja01w,start
243,2011,2011-04-11,Drafted,TUL,cambael01w,start
244,2005,2005-04-16,Drafted,IND,whiteta01w,start
245,2005,2005-04-16,Drafted,LAS,wheelde01w,start
246,2005,2005-04-16,Drafted,MIN,mannkr01w,start
247,2005,2005-04-16,Drafted,NYL,moorelo01w,start
248,2005,2005-04-16,Drafted,PHO,irvinsa01w,start
249,2005,2005-04-16,Drafted,SEA,wrighta01w,start
250,2005,2005-04-16,Drafted,DET,braxtka01w,start
251,2005,2005-04-16,Drafted,WAS,johnste01w,start
252,2005,2005-04-16,Drafted,CHA,mccarja01w,start
253,2005,2005-04-16,Drafted,HOU,lyttlsa01w,start
254,2005,2005-04-16,Drafted,SAC,haynikr01w,start
255,2013,2013-04-15,Drafted,ATL,bentlal01w,start
256,2013,2013-04-15,Drafted,CHI,delleel01w,start
257,2013,2013-04-15,Drafted,CON,fariske01w,start
258,2013,2013-04-15,Drafted,IND,clarela01w,start
259,2013,2013-04-15,Drafted,LAS,mathiad01w,start
260,2013,2013-04-15,Drafted,MIN,mooreli01w,start
261,2013,2013-04-15,Drafted,NYL,boneke01w,start
262,2013,2013-04-15,Drafted,PHO,grinebr01w,start
263,2013,2013-04-15,Drafted,SAS,alexaka01w,start
264,2013,2013-04-15,Drafted,SEA,hawkiti01w,start
265,2013,2013-04-15,Drafted,TUL,diggisk01w,start
266,2013,2013-04-15,Drafted,WAS,hillta01w,start
267,2007,2007-04-04,Drafted,CHI,pricear01w,start
268,2007,2007-04-04,Drafted,CON,hairska01w,start
269,2007,2007-04-04,Drafted,IND,balesal01w,start
270,2007,2007-04-04,Drafted,LAS,spencsi01w,start
271,2007,2007-04-04,Drafted,SEA,gearlka01w,start
272,2007,2007-04-04,Drafted,DET,lattaiv01w,start
273,2007,2007-04-04,Drafted,WAS,mosbybe01w,start
274,2007,2007-04-04,Drafted,HOU,shielas01w,start
275,2007,2007-04-04,Drafted,SAC,dicksje01w,start
276,2006,2006-04-05,Drafted,CHI,dupreca01w,start
277,2006,2006-04-05,Drafted,CON,merride01w,start
278,2006,2006-04-05,Drafted,IND,atkinla01w,start
279,2006,2006-04-05,Drafted,LAS,willili01w,start
280,2006,2006-04-05,Drafted,NYL,bakersh01w,start
281,2006,2006-04-05,Drafted,SAS,youngso01w,start
282,2006,2006-04-05,Drafted,SEA,turneba01w,start
283,2006,2006-04-05,Drafted,WAS,jamesta01w,start
284,2006,2006-04-05,Drafted,CHA,currimo01w,start
285,2006,2006-04-05,Drafted,SAC,smithki01w,start
286,2012,2012-04-16,Drafted,ATL,hayesti01w,start
287,2012,2012-04-16,Drafted,CHI,peddysh01w,start
288,2012,2012-04-16,Drafted,CON,daboas01w,start
289,2012,2012-04-16,Drafted,IND,goodlsa01w,start
290,2012,2012-04-16,Drafted,LAS,ogwumnn01w,start
291,2012,2012-04-16,Drafted,MIN,peterde01w,start
292,2012,2012-04-16,Drafted,NYL,cainke01w,start
293,2012,2012-04-16,Drafted,PHO,prahasa01w,start
294,2012,2012-04-16,Drafted,SAS,johnssh02w,start
295,2012,2012-04-16,Drafted,SEA,stricsh01w,start
296,2012,2012-04-16,Drafted,TUL,johnsgl01w,start
297,2012,2012-04-16,Drafted,WAS,novosna01w,start
298,2016,2016-04-14,Drafted,ATL,holmebr01w,start
299,2016,2016-04-14,Drafted,CHI,boyetim01w,start
300,2016,2016-04-14,Drafted,CON,tuckmo01w,start
301,2016,2016-04-14,Drafted,IND,mitchti01w,start
302,2016,2016-04-14,Drafted,LAS,jonesjo01w,start
303,2016,2016-04-14,Drafted,MIN,gwathja01w,start
304,2016,2016-04-14,Drafted,NYL,bulgaad01w,start
305,2016,2016-04-14,Drafted,PHO,willico01w,start
306,2016,2016-04-14,Drafted,SAS,jeffemo01w,start
307,2016,2016-04-14,Drafted,SEA,stewabr01w,start
308,2016,2016-04-14,Drafted,DAL,powerae01w,start
309,2016,2016-04-14,Drafted,WAS,coppeka01w,start
310,2002,2002-04-19,Drafted,ORL,cunnida01w,start
311,2002,2002-04-19,Drafted,IND,mcdonta01w,start
312,2002,2002-04-19,Drafted,NYL,frohlli01w,start
313,2002,2002-04-19,Drafted,PHO,shawto01w,start
314,2002,2002-04-19,Drafted,UTA,crockda01w,start
315,2002,2002-04-19,Drafted,SEA,birdsu01w,start
316,2002,2002-04-19,Drafted,DET,cashsw01w,start
317,2002,2002-04-19,Drafted,WAS,dalesst01w,start
318,2002,2002-04-19,Drafted,CLE,jacksde01w,start
319,2002,2002-04-19,Drafted,HOU,snowmi01w,start
320,2002,2002-04-19,Drafted,MIA,mooreta01w,start
321,2002,2002-04-19,Drafted,SAC,maigaha01w,start
322,2003,2003-04-25,Drafted,CON,colemco01w,start
323,2003,2003-04-25,Drafted,IND,jacksgw01w,start
324,2003,2003-04-25,Drafted,LAS,laruesc01w,start
325,2003,2003-04-25,Drafted,MIN,edwarte01w,start
326,2003,2003-04-25,Drafted,NYL,creammo01w,start
327,2003,2003-04-25,Drafted,PHO,pierspl01w,start
328,2003,2003-04-25,Drafted,SAS,brownco01w,start
329,2003,2003-04-25,Drafted,SEA,sunmiju01w,start
330,2003,2003-04-25,Drafted,DET,fordch01w,start
331,2003,2003-04-25,Drafted,WAS,smithai01w,start
332,2003,2003-04-25,Drafted,CHA,pennjo01w,start
333,2003,2003-04-25,Drafted,CLE,thomala01w,start
334,2003,2003-04-25,Drafted,HOU,curtial01w,start
335,2003,2003-04-25,Drafted,SAC,anderch01w,start
336,2017,2017-04-13,Drafted,ATL,sykesbr01w,start
337,2017,2017-04-13,Drafted,CHI,coateal01w,start
338,2017,2017-04-13,Drafted,CON,jonesbr01w,start
339,2017,2017-04-13,Drafted,IND,mccaler01w,start
340,2017,2017-04-13,Drafted,LAS,wiesesy01w,start
341,2017,2017-04-13,Drafted,MIN,jonesal01w,start
342,2017,2017-04-13,Drafted,NYL,allenli01w,start
343,2017,2017-04-13,Drafted,PHO,princal01w,start
344,2017,2017-04-13,Drafted,SAS,plumke01w,start
345,2017,2017-04-13,Drafted,SEA,peteral01w,start
346,2017,2017-04-13,Drafted,DAL,akhatev01w,start
347,2017,2017-04-13,Drafted,WAS,walkesh01w,start
348,2001,2001-04-20,Drafted,ORL,douglka01w,start
349,2001,2001-04-20,Drafted,IND,catchta01w,start
350,2001,2001-04-20,Drafted,LAS,coopeca01w,start
351,2001,2001-04-20,Drafted,NYL,tuukkta01w,start
352,2001,2001-04-20,Drafted,PHO,vealkr01w,start
353,2001,2001-04-20,Drafted,UTA,ferdima01w,start
354,2001,2001-04-20,Drafted,SEA,jacksla01w,start
355,2001,2001-04-20,Drafted,WAS,milleco01w,start
356,2001,2001-04-20,Drafted,CHA,milleke01w,start
357,2001,2001-04-20,Drafted,CLE,taylope01w,start
358,2001,2001-04-20,Drafted,HOU,lassiam01w,start
359,2001,2001-04-20,Drafted,POR,stileja01w,start
360,2001,2001-04-20,Drafted,SAC,mooreja01w,start
361,2015,2015-04-16,Drafted,ATL,logicsa01w,start
362,2015,2015-04-16,Drafted,CHI,parkech01w,start
363,2015,2015-04-16,Drafted,CON,williel01w,start
364,2015,2015-04-16,Drafted,IND,gardnch01w,start
365,2015,2015-04-16,Drafted,LAS,bradfcr01w,start
366,2015,2015-04-16,Drafted,MIN,grayre01w,start
367,2015,2015-04-16,Drafted,NYL,boydbr01w,start
368,2015,2015-04-16,Drafted,PHO,harriis01w,start
369,2015,2015-04-16,Drafted,SAS,hambyde01w,start
370,2015,2015-04-16,Drafted,SEA,loydje01w,start
371,2015,2015-04-16,Drafted,TUL,zahuiam01w,start
372,2015,2015-04-16,Drafted,WAS,malotal01w,start
373,2014,2014-04-14,Drafted,ATL,schimsh01w,start
374,2014,2014-04-14,Drafted,CHI,gatlima01w,start
375,2014,2014-04-14,Drafted,IND,howarna01w,start
376,2014,2014-04-14,Drafted,LAS,hamsoje01w,start
377,2014,2014-04-14,Drafted,MIN,listotr01w,start
378,2014,2014-04-14,Drafted,PHO,biasti01w,start
379,2014,2014-04-14,Drafted,SAS,mcbrika01w,start
380,2014,2014-04-14,Drafted,TUL,simsod01w,start
381,2000,2000-04-25,Drafted,ORL,dossaci01w,start
382,2000,2000-04-25,Drafted,LAS,kubikni01w,start
383,2000,2000-04-25,Drafted,MIN,daleygr01w,start
384,2000,2000-04-25,Drafted,NYL,firsool01w,start
385,2000,2000-04-25,Drafted,UTA,mulitna01w,start
386,2000,2000-04-25,Drafted,SEA,vodicka01w,start
387,2000,2000-04-25,Drafted,DET,browned01w,start
388,2000,2000-04-25,Drafted,WAS,millsta01w,start
389,2000,2000-04-25,Drafted,CHA,erbsu01w,start
390,2000,2000-04-25,Drafted,CLE,wautean01w,start
391,2000,2000-04-25,Drafted,POR,pridely01w,start
392,2000,2000-04-25,Drafted,SAC,stedika01w,start
393,1999,1999-05-03,Drafted,ORL,salesny01w,start
394,1999,1999-05-04,Drafted,ORL,phillta01w,start
395,1999,1999-05-04,Drafted,LAS,miltode01w,start
396,1999,1999-05-03,Drafted,MIN,smithka01w,start
397,1999,1999-05-04,Drafted,MIN,edwarto01w,start
398,1999,1999-05-04,Drafted,NYL,robincr01w,start
399,1999,1999-05-04,Drafted,PHO,campbed01w,start
400,1999,1999-05-04,Drafted,UTA,willina01w,start
401,1999,1999-05-04,Drafted,DET,azzije01w,start
402,1999,1999-05-04,Drafted,WAS,holdsch01w,start
403,1999,1999-05-04,Drafted,CHA,staleda01w,start
404,1999,1999-05-04,Drafted,CLE,melvich01w,start
405,1999,1999-05-04,Drafted,HOU,zasulna01w,start
406,1999,1999-05-04,Drafted,SAC,griffyo01w,start
407,1998,1998-04-29,Drafted,LAS,feastal01w,start
408,1998,1998-04-29,Drafted,NYL,thompal01w,start
409,1998,1998-04-29,Drafted,PHO,stepama01w,start
410,1998,1998-04-29,Drafted,UTA,dydekma01w,start
411,1998,1998-01-27,Drafted,DET,brownci01w,start
412,1998,1998-04-29,Drafted,DET,hledeko01w,start
413,1998,1998-01-27,Drafted,WAS,santoal01w,start
414,1998,1998-04-29,Drafted,WAS,pagemu01w,start
415,1998,1998-04-29,Drafted,CHA,reidtr01w,start
416,1998,1998-04-29,Drafted,CLE,blodgci01w,start
417,1998,1998-04-29,Drafted,HOU,tzekopo01w,start
418,1998,1998-04-29,Drafted,SAC,penicti01w,start
419,1997,1997-01-22,Drafted,LAS,leslili01w,start
420,1997,1997-02-27,Drafted,LAS,charlda01w,start
421,1997,1997-04-28,Drafted,LAS,widemja01w,start
422,1997,1997-01-22,Drafted,NYL,lobore01w,start
423,1997,1997-02-27,Drafted,NYL,hamptky01w,start
424,1997,1997-04-28,Drafted,NYL,wickssu01w,start
425,1997,1997-01-22,Drafted,PHO,gilloje01w,start
426,1997,1997-02-27,Drafted,PHO,pettibr01w,start
427,1997,1997-04-28,Drafted,PHO,fosteto01w,start
428,1997,1997-01-22,Drafted,UTA,baranel01w,start
429,1997,1997-02-27,Drafted,UTA,headde01w,start
430,1997,1997-04-28,Drafted,UTA,reissta01w,start
431,1997,1997-01-22,Drafted,CHA,stinsan01w,start
432,1997,1997-02-27,Drafted,CHA,mapprh01w,start
433,1997,1997-04-28,Drafted,CHA,suberto01w,start
434,1997,1997-01-22,Drafted,CLE,braxtja01w,start
435,1997,1997-02-27,Drafted,CLE,fijalis01w,start
436,1997,1997-04-28,Drafted,CLE,nemcoev01w,start
437,1997,1997-01-22,Drafted,HOU,coopecy01w,start
438,1997,1997-02-27,Drafted,HOU,guytowa01w,start
439,1997,1997-04-28,Drafted,HOU,thompti01w,start
440,1997,1997-01-22,Drafted,SAC,gordobr01w,start
441,1997,1997-02-27,Drafted,SAC,mosleju01w,start
442,1997,1997-04-28,Drafted,SAC,mcgeepa01w,start
443,2019,2019-04-10,Drafted,CHI,samueka02w,start
444,2019,2019-04-10,Drafted,IND,mccowte01w,start
445,2019,2019-04-10,Drafted,LAS,brownka01w,start
446,2019,2019-04-10,Drafted,NYL,durras01w,start
447,2019,2019-04-10,Drafted,LVA,youngja01w,start
448,2019,2019-04-10,Drafted,SEA,magbeez01w,start
449,2019,2019-04-10,Drafted,DAL,ogunbar01w,start
450,2019,2019-04-10,Drafted,WAS,lesliki01w,start
451,2024,2024-04-15,Drafted,ATL,puochny01w,start
452,2024,2024-04-15,Drafted,CHI,cardoka01w,start
453,2024,2024-04-15,Drafted,CON,lacanle01w,start
454,2024,2024-04-15,Drafted,IND,clarkca02w,start
455,2024,2024-04-15,Drafted,LAS,brinkca01w,start
456,2024,2024-04-15,Drafted,MIN,pilial01w,start
457,2024,2024-04-15,Drafted,NYL,davisma05w,start
458,2024,2024-04-15,Drafted,PHO,osborch02w,start
459,2024,2024-04-15,Drafted,LVA,fairdy01w,start
460,2024,2024-04-15,Drafted,SEA,muhlni01w,start
461,2024,2024-04-15,Drafted,DAL,sheldja01w,start
462,2024,2024-04-15,Drafted,WAS,edwaraa01w,start
463,2018,2018-04-12,Drafted,ATL,billimo01w,start
464,2018,2018-04-12,Drafted,CHI,deshidi01w,start
465,2018,2018-04-12,Drafted,CON,brownle02w,start
466,2018,2018-04-12,Drafted,IND,mitchke01w,start
467,2018,2018-04-12,Drafted,LAS,vadeema01w,start
468,2018,2018-04-12,Drafted,MIN,parkji01w,start
469,2018,2018-04-12,Drafted,NYL,nurseki01w,start
470,2018,2018-04-12,Drafted,PHO,gulima01w,start
471,2018,2018-04-12,Drafted,LVA,wilsoa01w,start
472,2018,2018-04-12,Drafted,SEA,canadjo01w,start
